id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
1,Precious Achiuwa,NYK,C,25,57,6.6,5.6,1,0.8,0.7,2.3,20.5,13.6,10,0.502,0.594,0.8
2,Steven Adams,HOU,C,31,58,3.9,5.6,1.1,0.4,0.5,2.3,13.7,16.6,3,0.545,0.462,0.9
3,Bam Adebayo,MIA,C,27,78,18.1,9.6,4.3,1.3,0.7,7.5,34.3,18.9,78,0.485,0.765,2.1
4,Ochai Agbaji,TOR,SG,24,64,10.4,3.8,1.5,0.9,0.5,3.1,27.2,12,45,0.498,0.708,0.8
5,Santi Aldama,MEM,PF,24,65,12.5,6.4,2.9,0.8,0.4,5,25.5,16.8,16,0.483,0.691,1.1
6,Trey Alexander,DEN,SG,21,24,1.3,0.5,0.5,0.1,0,-0.2,4.9,2.9,0,0.317,0.75,0.2
7,Nickeil Alexander-Walker,MIN,SG,26,82,9.4,3.2,2.7,0.6,0.4,4.3,25.3,11.6,10,0.438,0.78,1.2
8,Grayson Allen,PHO,SG,29,64,10.6,3,2.1,0.8,0.3,2.5,24.1,13.7,7,0.448,0.816,1.2
9,Jarrett Allen,CLE,C,26,82,13.5,9.7,1.9,0.9,0.9,11.6,28,22.1,82,0.706,0.718,1.2
10,Jose Alvarado,NOP,PG,26,56,10.3,2.4,4.6,1.3,0.3,1.2,24.4,13.4,23,0.392,0.811,1.5
11,Kyle Anderson,2TM,PF,31,61,5.9,3.4,2.4,0.7,0.5,2.8,16.4,15.1,4,0.469,0.738,0.6
12,Giannis Antetokounmpo,MIL,PF,30,67,30.4,11.9,6.5,0.9,1.2,11.5,34.2,30.5,67,0.601,0.617,3.1
13,Cole Anthony,ORL,PG,24,67,9.4,3,2.9,0.7,0.5,2,18.4,14.2,22,0.424,0.823,1.5
14,OG Anunoby,NYK,PF,27,74,18,4.8,2.2,1.5,0.9,6.5,36.6,15.4,74,0.476,0.81,1.4
15,Deni Avdija,POR,SF,24,72,16.9,7.3,3.9,1,0.5,5.6,30,17.7,54,0.476,0.78,2.7
16,Deandre Ayton,POR,C,26,40,14.4,10.2,1.6,0.8,1,2.8,30.2,17.7,40,0.566,0.667,1.7
17,Marcus Bagley,PHI,SF,23,10,6.7,7,1,0.9,1.2,0.2,25.3,11.8,4,0.391,0.8,0.7
18,Marvin Bagley III,2TM,PF,25,31,4.4,2.7,0.4,0.3,0.3,0.6,8.5,18.4,2,0.519,0.657,0.4
19,Patrick Baldwin Jr.,2TM,SF,22,24,2.2,1,0.1,0.1,0.1,0.2,4.5,16.2,0,0.543,0.5,0.2
20,LaMelo Ball,CHO,PG,23,47,25.2,4.9,7.4,1.1,0.3,2,32,19.1,47,0.405,0.843,3.6
21,Lonzo Ball,CHI,PG,27,35,7.6,3.4,3.3,1.3,0.5,1.2,22.2,12.2,14,0.366,0.815,1.2
22,Mo Bamba,2TM,C,26,32,4.3,4.5,0.6,0.3,1,1,12.9,13.9,2,0.464,0.704,0.6
23,Paolo Banchero,ORL,PF,22,46,25.9,7.5,4.8,0.8,0.6,3.5,34.4,20,46,0.452,0.727,3
24,Desmond Bane,MEM,SG,26,69,19.2,6.1,5.3,1.2,0.4,6.5,32,17.9,68,0.484,0.894,2.4
25,Dalano Banton,POR,PG,25,67,8.3,2,2.4,0.6,0.5,0.8,16.7,12.9,7,0.391,0.728,1.3
26,Dominick Barlow,ATL,SF,21,35,4.2,2.4,0.5,0.3,0.5,1,10.7,14.6,4,0.531,0.636,0.1
27,Harrison Barnes,SAS,PF,32,82,12.3,3.8,1.7,0.5,0.2,5.6,27.2,14.9,82,0.508,0.809,0.6
28,Scottie Barnes,TOR,PF,23,65,19.3,7.7,5.8,1.4,1,3.5,32.8,17.8,65,0.446,0.755,2.8
29,RJ Barrett,TOR,SF,24,58,21.1,6.3,5.4,0.8,0.3,2.4,32.2,16.5,58,0.468,0.63,2.8
30,Charles Bassey,SAS,C,24,36,4.4,4.2,0.5,0.4,0.8,1.1,10.4,19,1,0.581,0.636,0.6
31,Emoni Bates,CLE,SF,21,10,3.7,0.7,0.8,0.1,0.1,0.1,7.5,9.8,0,0.342,,0.2
32,Jamison Battle,TOR,SF,23,59,7.1,2.7,0.9,0.3,0.2,1.7,17.7,10.7,10,0.429,0.889,0.5
33,Nicolas Batum,LAC,PF,36,78,4,2.8,1.1,0.7,0.5,3.5,17.5,10.3,8,0.437,0.81,0.4
34,Damion Baugh,CHO,SG,24,15,7.3,3.3,3.7,1,0.1,-0.5,24.7,6.3,2,0.323,0.867,2.1
35,Bradley Beal,PHO,SG,31,53,17,3.3,3.7,1.1,0.5,2.4,32.1,15.2,38,0.497,0.803,1.9
36,Malik Beasley,DET,SG,28,82,16.3,2.6,1.7,0.9,0.1,4.7,27.8,14.4,18,0.43,0.679,1
37,MarJon Beauchamp,3TM,SF,24,35,2.3,1.3,0.3,0.1,0,0.1,4.5,12.3,0,0.415,0.75,0.4
38,Reece Beekman,2TM,PG,23,36,2.6,1.1,1.8,0.9,0.1,0.1,13,7.5,4,0.327,0.762,0.6
39,Goga Bitadze,ORL,C,25,70,7.2,6.6,2,0.7,1.4,5.8,20.4,19.2,42,0.611,0.639,1
40,Bismack Biyombo,SAS,C,32,28,5.1,5.6,1.1,0.6,0.8,0.8,18.9,12.2,26,0.588,0.4,1
41,Anthony Black,ORL,PG,21,78,9.4,2.9,3.1,1.1,0.6,2.4,24.2,11.6,10,0.423,0.761,1.8
42,Bogdan Bogdanović,2TM,SG,32,54,10.8,2.9,2.7,0.8,0.2,1.9,25,11.1,4,0.427,0.879,1.4
43,Bol Bol,PHO,PF,25,36,6.8,2.9,0.6,0.3,0.7,0.9,12.4,18.4,10,0.525,0.769,0.6
44,Adem Bona,PHI,C,21,58,5.8,4.2,0.5,0.4,1.2,2.3,15.6,16.5,11,0.703,0.67,1.1
